,Brand,Type,Material,color,From New Season,Manufacturing country,Description,Price
775,Chloé,Messenger & Crossbody Bags,calf leather,light brown,New Season,,,$657
776,PUBLISHED BY,Tote Bags,calf leather,black,New Season,,,"$1,053"
777,ETRO,Bucket Bags,canvas/calf leather,brown,New Season,Made in Italy,"Studded leather trims decorated with turquoise stones identify this Etro bag as part of the brand's 'Crown Me' collection. The brand's signature Paisley jacquard adorns the bag's body, lending the accessory a heritage feel.",$940
778,Savette,Messenger & Crossbody Bags,calf leather,black,New Season,Made in Italy,,"$1,025"
779,Kvadrat,Tote Bags,leather,pink,,Made in Italy,"In collaboration with Raf Simons this Kvadrat tote bag has a distinctively minimalist design. Featuring a tonal colourway and contrasting logo print at the front, this contemporary detail stands out even more.",$731
780,Valentino Garavani,Shoulder Bags,leather,green,,Made in Italy,"Supersize your embellishments with the help of this Roman Stud top-handle bag from Valentino Garavani. Designed with diamond quilting and gold-tone hardware, this leather accessory is sure to become your new favourite companion.","$3,307"
781,MM6 Maison Margiela,Tote Bags,calf leather/cotton,black/white/teal green,New Season,Made in Italy,"First introduced as part of the Maison's AW09 collection, the Japanese tote bag from MM6 Maison Margiela has since established itself as one label's most loved accessories through numerous reinterpretations including this eye-catching colour-block design.",$531
782,Moschino,Clutch Bags,calf leather,black,New Season,Made in Italy,,$821
783,Tod's,Tote Bags,calf leather,light beige,New Season,Made in Italy,"Tod's exceptional leatherwork is projected in the construction of this tote bag. Made from hammered calf leather in a beige hue, sleek contrasting trims create a sophisticated appeal for the slouchy silhouette.","$1,853"
784,Wandler,Mini Bags,calf leather,black,New Season,Made in Italy,,$718
785,Chloé,Tote Bags,leather trim,light brown,,Made in Italy,,"$1,204"
786,Rodo,Shoulder Bags,silk,tangerine orange,New Season,Made in Italy,"Founded in 1956 by Romualdo Dori, Rodo is renowned for expert craftsmanship, as seen with this delicate silk shoulder bag. The bright orange accessory is boldly accented by a crystal embellishment.",$677
787,KHAITE,Bucket Bags,calf leather,taupe brown,New Season,Made in Italy,"KHAITE showcases the signature sophisticated yet innovative nature of the brand in this small Cecilia bucket bag from the SS23 collection. Here, a logo stamp at the front and taupe colourway add a sense of timelessness to the accessory.","$1,949"
788,Tod's,Shoulder Bags,calf leather,green,New Season,Made in Italy,"Showing the brand's durable and refined design, this shoulder bag from Tod's is crafted from smooth leather in a green hue. The accessory features a detachable shoulder strap and is accented by the iconic T Timeless logo on the front.","$2,346"
789,KHAITE,Messenger & Crossbody Bags,calfskin,black,New Season,Made in Italy,,"$1,771"
790,Jacquemus,Tote Bags,leather,black,,Made in Italy,"First launched as part of the SS18 collection, Jacquemus' Le Chiquito bag led the mini accessory trend. Presented in a larger scale for AW21, the leather design is simply punctuated with gold-tone logo lettering, allowing the recognisable silhouette to take the focus. ",$653
791,Jacquemus,Shoulder Bags,leather,white,,Made in Italy,"Jaquemus sticks with its joyful and optimistic approach to fashion for its AW21 collection and presents iterations of some of the brand's most popular mini bags in tune with the upcoming season. Boasting a refined gold-tone plaque at the front, Le Chiquot Moyen boasts a bright white colour and can be worn crossbody style, hanging from the shoulder or handheld thanks to its detachable strap.",$653
792,Jacquemus,Tote Bags,leather ,white,,Made in Italy,"Jacquemus heralded the mini bag trend back in AW17 and has since become a key player in the luxury leather goods sphere. This Le Bambino Long bag is the newest addition to the Le Bambino family, designed in sleek, smooth calf leather, featuring the signature gold-tone branded plaque.",$677
793,Jacquemus,Beach Bags,straw/calf leather,beige/light pink,,,"Boasting an interwoven straw structure elevated with light pink calf leather accents, Jacquemus' Le Soli beach bag channels the French brand's focus on nature and texture for AW22. Benefiting from a spacious main compartment, this accessory can be worn handheld, across the body or at the shoulder thanks to its adjustable strap.",$490
794,Floyd,Luggage,,,,,,$462
795,Jacquemus,Shoulder Bags,leather,black,,Made in Italy,"Jacquemus heralded the mini bag trend back in AW17 and has since become a key player in the luxury leather goods sphere. This Le Bambino Long bag is the newest addition to the family, designed in sleek, smooth calf leather, featuring the signature gold-tone branded plaque.",$835
796,Jacquemus,Beach Bags,straw/calf leather,beige/light pink,,,"Boasting an interwoven straw structure elevated with light pink calf leather accents, Jacquemus' Le Soli beach bag channels the French brand's focus on nature and texture for AW22. Benefiting from a spacious main compartment, this accessory can be worn handheld, across the body or at the shoulder thanks to its adjustable strap.",$490
797,Floyd,Luggage,,,,,,$462
798,Vivienne Westwood,Shoulder Bags,faux leather,black,New Season,,,$342
799,Simone Rocha,Messenger & Crossbody Bags,heart shape,pearlescent finish,,,,$675
800,Versace,Messenger & Crossbody Bags,leather,black,New Season,Made in Italy,,"$1,259"
801,Tod's,Tote Bags,leather,black,,Made in Italy,,"$1,853"
802,Stella McCartney,Shoulder Bags,two rounded top handles,black ,Conscious,Made in Italy,"It's time for a ""Stella-bration"". What is the occassion you may ask? Why of course this perforated logo tote from Stella McCartney is here for a party. ",$713
803,Lemaire,Shoulder Bags,canvas,black,New Season,,"Inspired by Lemaire’s iconic Croissant bag, the Soft Game bag has a sturdy structure that holds its curved shape. Metal eyelets and laces close in the bottom, allowing its volume to be adjusted. ",$862
804,Isabel Marant,Shoulder Bags,raffia/leather,beige/black,,Made in Italy,"Tying in with Isabel Marant’s free-spirited design style, the Bayia shoulder bag is given a laid-back look thanks to the woven raffia construction. For added visual appeal, the piece is completed with a leather trim in a contrasting black shade.",$513
805,FPM Milano,Luggage,,,,Made in Italy,,"$1,441"
806,Stella McCartney,Tote Bags,,,Conscious,Made in Italy,,$953
807,GANNI,Messenger & Crossbody Bags,recycled polyester,black/beige,New Season,,,$165
808,FPM Milano,Luggage,aluminium,silver-tone,,Made in Italy,"Fabbrica Palleterie Milano was founded in 1946 and is an expert in making aluminium cases. Known for the quietest wheels in the business, they now present the Bank S suitcase. An easy to manoeuvre staple, thanks to its cabin size, this suitcase was built in Italy in collaboration with the industrial designer Mr Marc Sadler.","$1,176"
809,Vanina,Shoulder Bags,gold-tone hardware,cream white,New Season,,"Vanina offers an opulent design with this shoulder bag. In cream and gold-tone hues, it is detailed with a feather-like crepe outer for an eye-catching finish.",$561
810,See by Chloé,Shoulder Bags,,,,,Youthful charm and bohemian design. See by Chloé's Joan crossbody bag has it all with gold-tone detailing adorning the pebbled leather accessory. What's not to love? ,$525
811,Rains,Luggage,waterproof,black,Conscious,,,$82
812,Rains,Messenger & Crossbody Bags,matte finish,black,Conscious,,"Rains' Flight crossbody bag is a scaled-down version of the brand's cult backpack style. Made from the label's signature waterproof PU fabric, it's detailed with a tonal coated foldover flap and adjustable webbing strap.",$75
813,Vanina,Shoulder Bags,mother-of-pearl,rose pink/multicolour,New Season,,,$724
814,Tod's,Tote Bags,calf leather,luggage brown,New Season,Made in Italy,"Tod's has been delivering expert leather craftsmanship since 1900, utilising fine fabrics to create exquisite shoes, bags and accessories. A fine is example is this tote bag from their AW22 edit. Crafted from calf leather and decorated by the iconic gold-tone logo plaque, this is an instantly recognisable piece. ","$1,887"
815,PUBLISHED BY,Shoulder Bags,leather,silver-tone,New Season,Made in Italy,"Published By pushes the boundaries of fashion by using innovative 3D technologies to create its pieces in a sustainable way. The bags' unique finishes and shapes are inspired by the automotive industry, as is showcased by the fluid silhouette and chromatic effect of this shoulder bag.",$704
816,KHAITE,Clutch Bags,leather,black,,Made in Italy,In a rush? Then at least just make sure to grab this Aimee envelope clutch bag from KHAITE before you head out the door. All your daily essentials can be stored easily in this compact beauty.,"$1,305"
817,Sophie Bille Brahe,Clutch Bags,,,,Made in Italy,,$103
818,STAUD,Shoulder Bags,leather,black,,,,$376
819,Versace,Messenger & Crossbody Bags,leather,black,,Made in Italy,"It's clear that you're already charmed by this crossbody bag. Versace knows how to capture everyone's attention, with the black leather and Medusa motif on this design. You'll want to wear it every day of the week.","$1,175"
820,Tod's,Tote Bags,leather,light beige,New Season,Made in Italy,"With a smooth calf leather construction and a timeless light beige colourway, this medium tote bag from Tod's opens up to a spacious interior with two zip-fastening compartments. The piece is adorned with a silver-tone T logo charm.","$1,559"
821,Wandler,Shoulder Bags,,,New Season,Made in Italy,,$755
822,Vanina,Tote Bags,sequin embellishment,multicolour,New Season,,,$328
823,Vanina,Bucket Bags,calf leather,cream white,New Season,,,$520
824,Vanina,Shoulder Bags,pearl detail,cream white,New Season,,"Known for whimsical and romantic accessories, Vanina reimagines its renowned Rêveries silhouette for AW22. It is made from delicate pearls that punctuate its gold-tone beaded construction.",$527
825,Chloé,Messenger & Crossbody Bags,leather,motty grey,Runway,Made in Italy,Show how much you care. Give yourself some personal affection like Chloé does with this charming crossbody Kiss bag. A match made in heaven.,"$1,586"
826,Versace,Beach Bags,cotton,black,,Made in Italy,"Boasting an all-over logo pattern, this understated beach bag is part of Versace's AW21 collection and is finished with refined gold-tone hardware. Fastening at the top with a drawstring, it can be worn on the shoulder or handheld thanks to its practical detachable strap. ",$650
827,STAUD,Shoulder Bags,,,,Made in United States,,$202
828,Stella McCartney,Tote Bags,faux leather,pale pink,Conscious,Made in Italy,"Stella McCartney takes her signature diamond-cut chain and applied it to this top-handle bag. Crafted from faux leather and designed with a top zip fastening, this medium-scape accessory is perfect for housing all of your essentials.","$1,553"
829,Amina Muaddi,Mini Bags,leather,neon-green,,Made in Italy,,$875
830,Lemaire,Messenger & Crossbody Bags,leather,olive green,,,"Lemaire showcases the brand's minimalist design style in this zip-fastening bag. Featuring a tonal colourway and unique cresent shape, the accessory has a contemporary yet timeless feel.","$1,135"
831,Marc Jacobs,Tote Bags,canvas,black/white,New Season,,"Defined by its structured silhouette and bold front branding, The Tote is an iconic Marc Jacobs’ design. Seen here in a classic black hue with contrasting white logo lettering taking centre stage.",$288
832,Saint Laurent,Messenger & Crossbody Bags,logo plaque,black,,Made in Italy,"Saint Laurent's monogram logo was created by graphic designer Cassandre in 1961. Now synonymous to the brand, it is featured in gold-tone hardware at the front of this crossbody bag. Layered over chevron-quilt detailing, the sleek style of the house is reiterated. ","$1,450"
833,Marc Jacobs,Mini Bags,logo print to the front,black,New Season,,"A staple in Marc Jacobs' designs, the Tote Bag is present throughout entire collections, and SS22 is no exception. In a black colourway design, this Mini iteration features a logo print on the front.",$264
834,Marc Jacobs,Tote Bags,cotton,beige,,,,$261
835,Karl Lagerfeld,Shoulder Bags,leather ,black,,,,$193
836,Marc Jacobs,Tote Bags,canvas,sand-beige,,,"If you're looking for the tote bag, you should turn your attention to Marc Jacobs. Constructed from sand-beige canvas and boasting contrasting branding details, this roomy accessory is the perfect combination of style and function. ",$285
837,Saint Laurent,Tote Bags,lambskin,black,,Made in Italy,"Embodying the brand's understated sense of elegance, Saint Laurent presents this bag. Crafted from leather in a black hue, this bag combines a quilted outside with a maximalist inside. The bold gold-tone YSL logo plaque on the front offers instant recognition. ","$4,900"
838,Off-White,Shoulder Bags,leather,black,,Made in Italy,"So-called due to its signature Meteor detailing, the Burrow-32 bag from Off-White is seen here in a classic black hue. Its deconstructed cut-out design opens up to a spacious interior, mixing functionality and distinctive design in equal measure.",$785
839,Saint Laurent,Mini Bags,leather,black,,,"Saint Laurent's mini bag underscores the brand's emphasis on refined elegance. Crafted from croc-effect black leather, this understated iteration is solely decorated with a sleek logo plaque. ",$795
840,Saint Laurent,Shoulder Bags,Y quilting,Black,,Made in Italy,"Crafted from soft leather, the Loulou bag is named after Yves Saint-Laurent’s muse and friend Loulou de la Falaise. The iconic silhouette is presented in a medium size here for wearable yet spacious design.","$3,200"
841,Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,,"$1,546"
842,Saint Laurent,Messenger & Crossbody Bags,logo plaque,beige,,Made in Italy,"Saint Laurent's monogram logo was created by graphic designer Cassandre in 1961. Now synonymous to the brand, it is featured in gold-tone hardware at the front of this crossbody bag. Layered over chevron-quilt detailing, the sleek style of the house is reiterated.","$1,450"
843,Off-White,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,"Off-White draws the colour from its signature Diag Stripe motif, embroidering the design to the front of this crossbody bag for a subtly branded finish. The brand's famed industrial-inspired details complete the rest of the piece in polished gold-tone hardware, embodying their ethos of 'embracing the now in a sophisticated manner'.",$890
844,Saint Laurent,Messenger & Crossbody Bags,,,,Made in Italy,,"$1,950"
845,Karl Lagerfeld,Tote Bags,calf leather,black,,,,$100
846,Off-White,Tote Bags,cotton/leather,white/black,Exclusive,Made in Italy,"Off-White updates a classic accessory with this Diag Hybrid Shop 28 tote bag for AW22. Produced in white and black cotton and leather, the design sports a contrasting branded shoulder strap and spacious main compartment.",$758
847,Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,fuchsia pink,,,,$195
848,Gucci,Shoulder Bags,,,,Made in Italy,,"$2,290"
849,Furla,Tote Bags,leather,white,,,"Named after their inception in 1927, Furla reimagines classic house codes in their new line of the 1927 bag. Drawing a contrast between old and new, this iteration follows classic house codes such as the compact design and gold-tone plaque, whilst white leather is used for constructing this mini bag.",$119
850,Off-White,Clutch Bags,lambskin/cotton,black/white,,Made in Italy,"Designed with style and function in mind, the Off-White Block bag comes complete with signature logo detailing and zip-up compartments for a contemporary finish.",$653
851,Marc Jacobs,Tote Bags,leather,black,,,"Defined by its structured silhouette and bold front branding, The Tote is an iconic Marc Jacobs design. Seen here in pebbled black leather, the accessory opens up to a spacious interior complemented by multiple pockets for added functionality.",$389
852,Marc Jacobs,Tote Bags,canvas,black/white,,,,$330
853,Marc Jacobs,Tote Bags,cotton-blend,beige/black,,,,$337
854,Karl Lagerfeld,Tote Bags,cotton,black,,,"Blending practicality and style in one, this K/Futuristic logo-print tote bag from Karl Lagerfeld leans towards a more contemporary feel. Fashioned in black coated cotton, the high-shine accessory features a contrasting logo print to the front and a spacious main compartment.",$71
855,Balenciaga,Shoulder Bags,leather,pink,Conscious,Made in Italy,Balenciaga's Le Cagole shoulder bag is inspired by the brand's signature moto-inspired styles. This XS iteration is accented with tough silver-tone rhinestone-embellished studs that trace the curved silhouette. The heart-shaped mirror tag is handy for touch-ups on the go.,"$2,700"
856,Balenciaga,Shoulder Bags,leather,pink,Conscious,Made in Italy,Balenciaga's Le Cagole shoulder bag is inspired by the brand's signature moto-inspired styles. This XS iteration is accented with tough silver-tone rhinestone-embellished studs that trace the curved silhouette. The heart-shaped mirror tag is handy for touch-ups on the go.,"$2,700"
857,,,,,,,,$255
858,Karl Lagerfeld,Backpacks,monogram pattern,black/ash grey,,,"This K/Ikonik backpack is instantly recognisable as Karl Lagerfeld's: covered in a contrasting grey monogram pattern and featuring a hanging logo charm, this accessory proudly speaks to the brand's penchant for logomania.",$156
859,Gucci,Messenger & Crossbody Bags,leather/canvas,beige ,,Made in Italy,"A Gucci handbag can be instantly-recognised anywhere, any time. Thanks to the brand’s pioneering creative director, the Florentine fashion house has become one of the world’s most influential names in the game. This beige Dionysus GG Supreme shoulder bag from Gucci is sure to make a statement addition in your accessories collection.","$2,870"
860,Saint Laurent,Mini Bags,leather,black,,Made in Italy,"Do you never leave your house without? If a phone is your answer, this Monogram phone holder from Saint Laurent is made just for you. Constructed from supple leather, this phone holder will keep your phone protected in style. All you need is endless wifi.",$745
861,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,950"
862,Gucci,Shoulder Bags,canvas/leather,beige,,Made in Italy,"Gucci recreates an archival design that dates back to 1955, merging original House codes of beige monogram canvas and also draws attention to their equestrian roots with the Horsebit detail to the front of the flap closure on the bag. Adjust the strap to wear on the shoulder or across the body.","$2,870"
863,Marc Jacobs,Tote Bags,cotton-blend,black/white,,,"Designed with a jacquard construction, this The Jacquard Large Tote bag from Marc Jacobs is embellished with a logo detail on the front. The black and white accessory is topped with two handles.",$560
864,Marc Jacobs,Messenger & Crossbody Bags,leather,beige,,,"Hailing from the Double-J collection, Marc Jacobs' The Snapshot crossbody bag takes inspiration from photography accessories, injecting them with a retro twist. Imagined in a beige colourway, this silhouette features a logo plaque that resembles a broken chain link and a logo-embellished shoulder strap.",$306
865,Saint Laurent,Clutch Bags,leather,dark beige,,Made in Italy,"The signature YSL plaque takes the focus on this Saint Laurent envelope clutch. Appearing on quilted matelassé leather, it contrasts against the dark beige colourway in a gold-tone finish.",$795
866,Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,"The 'YSL' monogram was created in 1962 by graphic designer Adolphe Jean-Marie Mouron and punctuates the front of this 5A7 shoulder bag. Bringing together a piece of the brand's history with a sleek, tonal silhouette, a timeless yet functional design is achieved. ","$2,400"
867,adidas by Stella McCartney,Belt Bags,logo print to the front,black/white,New Season,,,$96
868,Marc Jacobs,Tote Bags,leather,black,,,"The Tote Bag from Marc Jacobs is instantly recognisable as the brand through its large slogan print and logo print across the front. Featured in many different iterations, this accessory from the AW22 collection boasts and all-black colourway.",$467
869,Saint Laurent,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,"Meet Loulou. Presented in a compact size, this black calf leather Loulou Toy crossbody bag from Saint Laurent may offer mini proportions but it exudes maximum style. Small but mighty.","$1,990"
870,Marc Jacobs,Messenger & Crossbody Bags,,,,,"A great day starts with a great bag. So kick off your morning with a cereal bar, favourite novel, and your wallet all stored in this Snapshot logo-strap crossbody bag from The Marc Jacobs so you can take on the busy day no problem. Don't worry about a thing, you've got it in the bag.",$306
871,Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,"References to Saint Laurent's rich heritage permeate the College shoulder bag. Quilted with the label's signature chevron pattern, the accessory features a gold-toned YSL logo plaque - the iconic emblem has been a house mainstay since the 60s, lending an instantly recognisable touch to its designs.","$2,590"
872,Proenza Schouler,Messenger & Crossbody Bags,calf leather,forest green,,Made in Italy,,$417
873,Karl Lagerfeld,Messenger & Crossbody Bags,cotton-blend,black/camel-brown,,,,$165
874,Karl Lagerfeld,Bucket Bags,leather/cotton,black,,,,$139
875,Karl Lagerfeld,Shoulder Bags,calf leather,black/lime green,,,,$212
876,Michael Michael Kors,Backpacks,calf leather ,black ,,,,$420
877,Palm Angels,Shoulder Bags,calf leather,black,,Made in Italy,"Palm Angels' bold and contemporary aesthetic is captured in this Crash shoulder bag. Crafted from leather in a modern, slanted silhouette the chunky gold-tone chain strap and striking logo print emphasises the eye-catching nature of the design.",$656
878,See by Chloé,Shoulder Bags,calf leather/cotton,brown,,,,$338
879,Karl Lagerfeld,Shoulder Bags,padded design,black,Conscious,,"Karl Lagerfeld's K/Knotted bag is so-called due to the knot detail over the top handle, an element that keeps in line with the voluminous effect of the padded design. The new AW22 season also brings the Future motif, a new iteration of the brand's logo that can be found on the top zip.",$195
880,Off-White,Tote Bags,calf leather,sand beige,,Made in Italy,,$596
881,Saint Laurent,Clutch Bags,calf leather,dark beige ,,Made in Italy,"Need more proof that the best gifts in life come in the smallest of packages? This Uptown envelope clutch from Saint Laurent might just be what Shakespeare had in mind when he wrote: ""though she be but little, she is fierce."" It packs a punch - and your favourite lipstick.",$625
882,Karl Lagerfeld,Tote Bags,monogram pattern,jet black,,,,$167
883,Marc Jacobs,Messenger & Crossbody Bags,leather,black/beluga grey/cream white,New Season,,"The Snapshot crossbody bag is a hit-style for New York-based brand Marc Jacobs. Named after its camera bag silhouette, the piece is finished with the interlocking 'J' plaque to the front referencing the designer's famed initial.",$432
884,Karl Lagerfeld,Messenger & Crossbody Bags,recycled leather,black,,,,$111
885,Saint Laurent,Clutch Bags,,,,Made in Italy,,$775
886,Karl Lagerfeld,Mini Bags,recycled polyester blend,black,Conscious,,,$72
887,Marc Jacobs,Messenger & Crossbody Bags,leather,jet black/dark red,,Made in Italy,,$396
888,Isabel Marant,Tote Bags,vertical stripe pattern,white/multicolour,,,,$165
889,Karl Lagerfeld,Laptop Bags,leather,jet black,,,,$115
890,adidas by Stella McCartney,Tote Bags,logo print to the front,black/white,New Season,,,$132
891,Karl Lagerfeld,Shoulder Bags,grained texture,black/multicolour,,,,$111
892,Marc Jacobs,Shoulder Bags,leather,black,,Made in Italy,"Reinvented in a black iteration for AW22, the J Marc Soft bag is part of Marc Jacobs' accessory edit and is crafted from soft buttery leather in Italy. Adorned with a recognisable logo plaque at the front, this piece benefits from an adjustable strap that allows it to be worn across the body or on the shoulder.",$528
893,Tory Burch,Tote Bags,leather,black,,,Tory Burch's Perry Triple-Compartment tote bag features a minimal design with an extra room - with a centre zip compartment that can fit a laptop. This model is crafted from black leather and features longer straps that fit comfortably over the shoulder.,$617
894,Zac Zac Posen,Messenger & Crossbody Bags,calf leather,teal green,,,,$101
895,Karl Lagerfeld,Backpacks,calf leather,black,New Season,,,$367
896,Karl Lagerfeld,Bucket Bags,leather/stretch-cotton,black/grey,,,Karl Lagerfeld updates this classic bucket bag silhouette with a tonal monogram jacquard and all-over diagonal logo print. A silver-tone logo plaque in decorative cursive sits at the front of this practical and stylish accessory.,$167
897,Michael Michael Kors,Shoulder Bags,,,,,,$210
898,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,400"
899,Marc Jacobs,Messenger & Crossbody Bags,,,,,"The Snapshot crossbody bag is a hit-style for New York-based brand Marc Jacobs. Named after its camera bag silhouette, the piece is finished with the interlocking 'J' plaque to the front referencing the designer's famed initial.",$387
900,Saint Laurent,Shoulder Bags,leather,white,,,"A mainstay for the Saint Laurent brand, this small Envelope shoulder bag has been around for a while for a reason. Crafted from white grain de poudre embossed leather, this accessory has a clean minimalist design and a classic silhouette that is cherished by many.","$2,650"
901,adidas by Stella McCartney,Backpacks,recycled polyamide/recycled polyester,black,Conscious,,"Detailed with multiple branded details this black backpack from adidas by Stella McCartney is made from recycled polyamide and recycled polyester, speaking to the label's sustainable concerns. ",$180
902,Versace Jeans Couture,Tote Bags,Logo Brush Couture print,black/white/gold-tone,,,"Founded by Gianni and Donatella Versace, Italian brand Versace Jeans Couture combines high fashion and street style for a youthful aesthetic. This top-handle bag is printed with the brand's Logo Brush Couture print, which is complemented by a quilted effect.",$175
903,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,700"
904,Karl Lagerfeld,Tote Bags,recycled cotton-cotton blend,black/white,New Season,,"Crafted from a recycled cotton blend with a spacious construction, the Karl Lagerfeld K/IKONIK 2.0 bag is detailed with a motif print to the front for a lively finish.",$87
905,Jacquemus,Tote Bags,calf leather,lilac purple,,Made in Italy,"Jacquemus updates its iconic Le Chiquito bag in a lilac purple hue. Designed in a structured trapeze silhouette, this style is simply adorned with the brand's gold-tone logo lettering to the front.",$689
906,Tory Burch,Shoulder Bags,leather,black,,,"Inspired by the geometry of Moroccan architecture and the bold graphics of David Hicks’ interiors from the '60s and ’70s, Tory Burch's signature Double T logo is presented here in powder-coated metal. Crafted from chevron-quilted leather, the Kira convertible shoulder bag boasts an adjustable chain and leather strap that can be worn doubled or long and crossbody.",$704
907,Karl Lagerfeld,Belt Bags,recycled polyester,black,Conscious,,,$100
908,STAND STUDIO,Tote Bags,faux shearling,lilac,,,"With a background in leather goods, STAND STUDIO delivers this Lucille tote. Constructed from faux fur in a light lilac, the accessory is finished with faux-leather top handles and a detachable shoulder strap.",$164
909,Karl Lagerfeld,Tote Bags,cotton blend,denim blue,,,,$156
910,Karl Lagerfeld,Tote Bags,recycled-cotton blend,black,Conscious,,,$111
911,Karl Lagerfeld,Tote Bags,calf leather,black,,,,$167
912,PINKO,Shoulder Bags,calf leather,black,New Season,,,$318
913,Saint Laurent,Mini Bags,leather,beige,,Made in Italy,,"$1,490"
914,Furla,Tote Bags,single flat top handle,black,,,"Named after their inception in 1927, Furla reimagines classic house codes in their new line of the 1927 bag. Drawing a contrast between old and new, this iteration follows classic house codes such as the compact design and logo plaque, whilst black fabric is used for constructing this mini bag.",$119
915,Karl Lagerfeld,Tote Bags,recycled polyamide-blend,black/yellow,Conscious,,,$55
916,Coach,Shoulder Bags,calf leather,brown,,,,$358
917,UGG,Messenger & Crossbody Bags,calf suede,black,,,,$159
918,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$3,650"
919,Karl Lagerfeld,Shoulder Bags,calf leather,jet black,,,,$390
920,Saint Laurent,Clutch Bags,leather,black,,Made in Italy,"Saint Laurent delivers yet another killer accessory. Crafted from crocodile-embossed leather, this Uptown pouch will have you exuding Parisian elegance like no other. Once you clutch it, you'll never want to let go.",$725
921,Saint Laurent,Clutch Bags,,,,Made in Italy,,$725
922,Marc Jacobs,Tote Bags,faux-shearling design,black,,,This accessory from Marc Jacobs is self-explanatory thanks to the logo patch on the front. The medium tote has been crafted from textured fabric in a black hue for a versatile statement look.,$366
923,Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,cloud white,,,,$380
924,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,290"
925,Marc Jacobs,Tote Bags,leather,red,,,,$389
926,Marc Jacobs,Tote Bags,canvas,sea green,New Season,,"It needs no introduction, this tote quite literally speaks for itself. In a rich green colourway, this Marc Jacobs tote is finished with mulitple internal pockets and iconic printed branding.",$274
927,Karl Lagerfeld,Messenger & Crossbody Bags,leather trim/cotton blend,black/multicolour,,,"Designed with a compact silhouette, this K/Seven Soft mini crossbody bag from Karl Lagerfeld AW22 is detailed with a multicolour boucle knit construction and branded leather trims. ",$195
928,Marc Jacobs,Shoulder Bags,pebbled texture,lilac purple,New Season,,Marc Jacobs reimagines The Tote bag in smaller proportions. This iteration features the signature boxy silhouette and adjustable crossbody strap.,$570
929,Marc Jacobs,Tote Bags,cotton-blend,black/white,,,"Designed with a jacquard construction, this The Jacquard Mini Tote bag from Marc Jacobs is embellished with a logo detail on the front. The black and white accessory is topped with two handles and a detachable shoulder strap.",$475
930,Saint Laurent,Clutch Bags,,,,Made in Italy,"A signature Saint Laurent style, the quilted construction of this Monogram clutch bag serves its refined aesthetic. This leather-made piece is accented with the unmistakable YSL plaque to the front, illustrating the brand’s timeless design approach.",$825
931,Versace Jeans Couture,Tote Bags,gold-tone logo plaque,jet black,,,,$172
932,Karl Lagerfeld,Messenger & Crossbody Bags,lambskin,black,,,,$195
933,Karl Lagerfeld,Shoulder Bags,cotton/leather,black,,,,$165
934,Karl Lagerfeld,Tote Bags,,,,,,$193
935,Saint Laurent,Messenger & Crossbody Bags,gold-tone logo plaque,taupe brown,,Made in Italy,,"$1,450"
936,Karl Lagerfeld,Messenger & Crossbody Bags,ruched detailing,beige,,,,$72
937,Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,"The iconic YSL plaque carries Saint Laurent’s signature sense of refinement, bringing a polished finish to the label’s designs. Seen on the front of this shoulder bag, the branded accent creates a recognisable finish for its quilted leather design.","$1,450"
938,Karl Lagerfeld,Backpacks,recycled polyamide blend,black/white,Conscious,,,$259
939,Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,"Did you know this Kate shoulder bag from Saint Laurent was named after Catherine, Duchess of Cambridge? Kidding. But it is worthy of royals, though.","$2,100"
940,Furla,Messenger & Crossbody Bags,leather,cognac brown,,,,$246
941,Saint Laurent,Shoulder Bags,leather,brown,,Made in Italy,"Saint Laurent's monogram logo was created by graphic designer Cassandre in 1961. Now synonymous to the brand, it is featured in gold-tone hardware at the front of this shoulder bag, adding an opulent edge to a timeless design. ","$1,608"
942,Karl Lagerfeld,Tote Bags,lamb skin,black,,,,$367
943,Karl Lagerfeld,Tote Bags,logo print to the front,black,New Season,,,$309
944,Karl Lagerfeld,Shoulder Bags,monogram pattern,black/white,,,"Karl Lagerfeld is known for presenting designs that are finished with logo detailing and branded prints. This shoulder bag is a fine example, presented in an all-black colourway with a contrasting monogram print and stripe throughout. ",$128
945,Gucci,Shoulder Bags,,,,Made in Italy,,"$2,290"
946,Zadig&Voltaire,Shoulder Bags,calf leather,black,New Season,,"One of Zadig & Voltaire's signatures, the Rock shoulder bag is a compact yet practical design. The accessory is detailed with elegant gold-tone hardware and the iconic wing logo plaque for a recognisable look.",$380
